-
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,306,OSCAR,51,A722246,,N,3Y,,,,77,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,310,*BORF,61.5,A783382,,M,1Y 3M,,,,80,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,311,MILA,55,A766372,03/19/2018,S,1Y 11M,,,,117,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,312,ROCKO,64.5,A758476,09/21/2017,N,3Y,,,,14,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,318,*CARRIE,52,A782457,,F,2Y,,,,94,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,319,LAYLA,60,A744966,03/15/2017,S,2Y,,,BE2,73,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,321,HARLOW,55,A685120,08/19/2014,S,5Y,,,,32,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,325,*HENRY,43,A784023,01/09/2019,N,2Y,,,,68,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,328,*JITTERBUG,34,A785895,,F,1Y 1M,,,,36,,ORANGE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,332,LUCY,64,A776965,,S,4Y,,,,55,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,336,SYDNEY,59,A783054,,S,3Y,,,,85,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,411,*EDIE,41,A755059,08/21/2017,S,3Y,ON TX,,,3,,,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,441,*SANDY,65,A764477,01/09/2018,S,2Y,,,,1,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,501,*BOOTLEGGER,43,A784030,,M,2Y,,,,68,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,502,*LEGEND,54,A785826,,M,2Y,,,,38,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,504,*HOPSCOTCH,52,A785605,,M,1Y 1M,,,,43,,,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,506,*CYRUS,52,A785563,,M,2Y,,,,43,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,507,*ATREYU,48,A785795,,M,2Y,,,,38,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,510,MAX,54,A783700,12/07/2018,N,1Y 2M,,,,74,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,511,STORM,48,A784870,,M,2Y,,,,57,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,512,REX,43,A777794,,N,11M,,,,101,,BLUE,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,516,*GRUFFALO,51.75,A785909,,M,1Y 1M,,,,36,,,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,526,*LANDON,48,A786126,,M,1Y 1M,,,,31,,GREEN,1
AAC PLAYGROUP FOR 1/17/2019 AT  8:23:17AM,K#,Name,wt,ID,sx date,Sex,Age,Sub status,Behavior Review,BehaviorRating,Days in Shelter,do not release,Dot Color,PG2,527,BOI,61,A786320,,N,2Y,ON TX,,,26,,BLUE,1
